,overall_epoch,sub_epoch,loss,acc
0,0,1999,-5.905512080062181e-05,0.9995
1,1,1999,-4.3763699068222195e-05,0.986
2,2,1999,-2.8561622457345948e-05,0.914
3,3,1999,-1.3362719073484186e-05,0.7235
4,4,1999,2.887230898807047e-09,0.473
5,5,1999,1.1442154573160224e-05,0.331
6,6,1999,2.3175880414783023e-05,0.199
7,7,1999,3.211351213394664e-05,0.1445
8,8,1999,3.588342951843515e-05,0.159
9,9,1999,4.2495634261285886e-05,0.127
10,10,1999,4.457774048205465e-05,0.1345
11,11,1999,4.5910957851447165e-05,0.142
12,12,1999,4.56143134215381e-05,0.147
13,13,1999,4.599419844453223e-05,0.1675
14,14,1999,4.359768718131818e-05,0.1825
15,15,1999,4.133287802687846e-05,0.1955
16,16,1999,3.9954044041223824e-05,0.2045
17,17,1999,3.5805882362183183e-05,0.246
18,18,1999,3.271578316343948e-05,0.265
19,19,1999,2.9147300665499642e-05,0.293
20,20,1999,2.8341723009361885e-05,0.2895
21,21,1999,2.8438764275051653e-05,0.306
22,22,1999,2.5016865038196556e-05,0.314
23,23,1999,2.7799282179330476e-05,0.311
24,24,1999,2.5138839191640727e-05,0.313
25,25,1999,2.195260822190903e-05,0.3235
26,26,1999,2.942304672615137e-05,0.302
27,27,1999,2.4120548914652318e-05,0.3135
28,28,1999,2.5845922209555283e-05,0.306
29,29,1999,2.784559183055535e-05,0.3165
30,30,1999,2.7372196200303733e-05,0.305
31,31,1999,3.1416682759299874e-05,0.291
32,32,1999,2.5088927941396832e-05,0.305
33,33,1999,2.8649583327933215e-05,0.294
34,34,1999,2.9147449822630733e-05,0.2945
35,35,1999,1.7302123524132185e-05,0.291
36,36,1999,2.1208779799053445e-05,0.2905
37,37,1999,1.5937725038384087e-05,0.2915
38,38,1999,1.2060046174156014e-05,0.298
39,39,1999,6.975816177146044e-06,0.3095
40,40,1999,-1.0711729373724665e-05,0.304
41,41,1999,-4.299766442272812e-05,0.322
42,42,1999,-5.9095240430906415e-05,0.335
43,43,1999,-9.216376201948151e-05,0.3385
44,44,1999,-0.0001105081319110468,0.359
45,45,1999,-0.00014546493184752762,0.3575
46,46,1999,-0.00025358464336022735,0.388
47,47,1999,-0.000293976190732792,0.369
48,48,1999,-0.00042016655788756907,0.3995
49,49,1999,-0.0006075361743569374,0.425
50,50,1999,-0.0007601905381307006,0.4345
51,51,1999,-0.001024926546961069,0.452
52,52,1999,-0.0012294689659029245,0.4685
53,53,1999,-0.0017047288129106164,0.477
54,54,1999,-0.002189196879044175,0.4985
55,55,1999,-0.002425718354061246,0.4945
56,56,1999,-0.0037137551698833704,0.508
57,57,1999,-0.004097817465662956,0.4905
58,58,1999,-0.004668617621064186,0.484
59,59,1999,-0.004265205003321171,0.4595
